"","Site","Time","Season","success","failure"
"929","13E",8,"F",0,96
"930","13E",8,"S",1,157
"931","13E",9,"F",0,96
"932","13E",9,"S",0,158
"933","13E",10,"F",0,96
"934","13E",10,"S",0,158
"935","13E",11,"F",0,96
"936","13E",11,"S",0,158
"937","13E",12,"F",0,96
"938","13E",12,"S",0,158
"939","13E",13,"F",0,96
"940","13E",13,"S",0,158
"941","13E",14,"F",0,96
"942","13E",14,"S",0,158
"943","13E",15,"F",0,96
"944","13E",15,"S",0,158
"945","13E",16,"F",0,96
"946","13E",16,"S",0,158
"947","13E",17,"F",0,96
"948","13E",17,"S",0,158
"949","13E",18,"F",0,96
"950","13E",18,"S",1,157
"951","13E",19,"F",0,96
"952","13E",19,"S",1,157
"953","13E",20,"F",0,96
"954","13E",20,"S",0,158
"955","13E",21,"F",0,96
"956","13E",21,"S",0,158
"957","13E",22,"F",0,96
"958","13E",22,"S",0,158
"959","13E",23,"F",0,96
"960","13E",23,"S",0,158
"961","14A",0,"F",0,96
"962","14A",0,"S",0,157
"963","14A",1,"F",0,96
"964","14A",1,"S",0,157
"965","14A",2,"F",0,96
"966","14A",2,"S",0,157
"967","14A",3,"F",0,96
"968","14A",3,"S",0,157
"969","14A",4,"F",0,96
"970","14A",4,"S",0,157
"971","14A",5,"F",0,96
"972","14A",5,"S",1,156
"973","14A",6,"F",0,96
"974","14A",6,"S",0,157
"975","14A",7,"F",0,96
"976","14A",7,"S",1,156
"977","14A",8,"F",0,96
"978","14A",8,"S",2,155
"979","14A",9,"F",0,96
"980","14A",9,"S",0,157
"981","14A",10,"F",0,96
"982","14A",10,"S",2,155
"983","14A",11,"F",0,96
"984","14A",11,"S",0,157
"985","14A",12,"F",0,96
"986","14A",12,"S",1,156
"987","14A",13,"F",0,96
"988","14A",13,"S",0,157
"989","14A",14,"F",0,96
"990","14A",14,"S",0,157
"991","14A",15,"F",0,96
"992","14A",15,"S",1,156
"993","14A",16,"F",0,96
"994","14A",16,"S",0,157
"995","14A",17,"F",0,96
"996","14A",17,"S",2,155
"997","14A",18,"F",1,95
"998","14A",18,"S",0,157
"999","14A",19,"F",1,95
"1000","14A",19,"S",1,156
"1001","14A",20,"F",1,95
"1002","14A",20,"S",2,155
"1003","14A",21,"F",0,96
"1004","14A",21,"S",0,157
"1005","14A",22,"F",0,96
"1006","14A",22,"S",1,156
"1007","14A",23,"F",0,96
"1008","14A",23,"S",0,157
"1009","14B",0,"F",0,96
"1010","14B",0,"S",0,94
"1011","14B",1,"F",0,96
"1012","14B",1,"S",0,94
"1013","14B",2,"F",0,96
"1014","14B",2,"S",0,94
"1015","14B",3,"F",0,96
"1016","14B",3,"S",0,94
"1017","14B",4,"F",0,96
"1018","14B",4,"S",0,94
"1019","14B",5,"F",0,96
"1020","14B",5,"S",1,93
"1021","14B",6,"F",0,96
"1022","14B",6,"S",1,93
"1023","14B",7,"F",0,96
"1024","14B",7,"S",0,94
"1025","14B",8,"F",0,96
"1026","14B",8,"S",1,93
"1027","14B",9,"F",2,94
"1028","14B",9,"S",1,93
"1029","14B",10,"F",0,96
"1030","14B",10,"S",1,93
"1031","14B",11,"F",0,96
"1032","14B",11,"S",0,94
"1033","14B",12,"F",0,96
"1034","14B",12,"S",1,93
"1035","14B",13,"F",0,96
"1036","14B",13,"S",1,93
"1037","14B",14,"F",0,96
"1038","14B",14,"S",1,93
"1039","14B",15,"F",1,95
"1040","14B",15,"S",0,94
"1041","14B",16,"F",1,95
"1042","14B",16,"S",0,94
"1043","14B",17,"F",0,96
"1044","14B",17,"S",1,93
"1045","14B",18,"F",0,96
"1046","14B",18,"S",3,91
"1047","14B",19,"F",2,94
"1048","14B",19,"S",3,91
"1049","14B",20,"F",0,96
"1050","14B",20,"S",1,93
"1051","14B",21,"F",0,96
"1052","14B",21,"S",1,93
"1053","14B",22,"F",0,96
"1054","14B",22,"S",0,94
"1055","14B",23,"F",0,96
"1056","14B",23,"S",0,94
"1057","14C",0,"F",0,92
"1058","14C",0,"S",0,156
"1059","14C",1,"F",0,92
"1060","14C",1,"S",0,156
"1061","14C",2,"F",0,92
"1062","14C",2,"S",0,156
"1063","14C",3,"F",0,92
"1064","14C",3,"S",0,156
"1065","14C",4,"F",0,92
"1066","14C",4,"S",0,156
"1067","14C",5,"F",0,92
"1068","14C",5,"S",0,156
"1069","14C",6,"F",0,92
"1070","14C",6,"S",0,156
"1071","14C",7,"F",0,92
"1072","14C",7,"S",0,156
"1073","14C",8,"F",0,92
"1074","14C",8,"S",0,156
"1075","14C",9,"F",0,92
"1076","14C",9,"S",0,156
"1077","14C",10,"F",0,92
"1078","14C",10,"S",0,156
"1079","14C",11,"F",0,92
"1080","14C",11,"S",0,156
"1081","14C",12,"F",0,92
"1082","14C",12,"S",0,156
"1083","14C",13,"F",0,92
"1084","14C",13,"S",2,154
"1085","14C",14,"F",0,92
"1086","14C",14,"S",0,156
"1087","14C",15,"F",0,92
"1088","14C",15,"S",0,156
"1089","14C",16,"F",0,92
"1090","14C",16,"S",0,156
"1091","14C",17,"F",0,92
"1092","14C",17,"S",0,156
"1093","14C",18,"F",0,92
"1094","14C",18,"S",0,156
"1095","14C",19,"F",0,92
"1096","14C",19,"S",0,156
"1097","14C",20,"F",0,92
"1098","14C",20,"S",0,156
"1099","14C",21,"F",0,92
"1100","14C",21,"S",0,156
"1101","14C",22,"F",0,92
"1102","14C",22,"S",0,156
"1103","14C",23,"F",0,92
"1104","14C",23,"S",0,156
"1105","14D",0,"F",0,96
"1106","14D",0,"S",0,157
"1107","14D",1,"F",0,96
"1108","14D",1,"S",0,157
"1109","14D",2,"F",0,96
"1110","14D",2,"S",0,157
"1111","14D",3,"F",0,96
"1112","14D",3,"S",0,157
"1113","14D",4,"F",0,96
"1114","14D",4,"S",0,157
"1115","14D",5,"F",0,96
"1116","14D",5,"S",0,157
"1117","14D",6,"F",0,96
"1118","14D",6,"S",0,157
"1119","14D",7,"F",0,96
"1120","14D",7,"S",0,157
"1121","14D",8,"F",0,96
"1122","14D",8,"S",0,157
"1123","14D",9,"F",0,96
"1124","14D",9,"S",1,156
"1125","14D",10,"F",0,96
"1126","14D",10,"S",0,157
"1127","14D",11,"F",1,95
"1128","14D",11,"S",0,157
"1129","14D",12,"F",0,96
"1130","14D",12,"S",0,157
"1131","14D",13,"F",0,96
"1132","14D",13,"S",0,157
"1133","14D",14,"F",0,96
"1134","14D",14,"S",1,156
"1135","14D",15,"F",0,96
"1136","14D",15,"S",0,157
"1137","14D",16,"F",0,96
"1138","14D",16,"S",0,157
"1139","14D",17,"F",1,95
"1140","14D",17,"S",0,157
"1141","14D",18,"F",1,95
"1142","14D",18,"S",0,157
"1143","14D",19,"F",2,94
"1144","14D",19,"S",1,156
"1145","14D",20,"F",0,96
"1146","14D",20,"S",0,157
"1147","14D",21,"F",0,96
"1148","14D",21,"S",0,157
"1149","14D",22,"F",0,96
"1150","14D",22,"S",1,156
"1151","14D",23,"F",0,96
"1152","14D",23,"S",0,157
"1153","14E",0,"F",0,96
"1154","14E",0,"S",0,157
"1155","14E",1,"F",0,96
"1156","14E",1,"S",0,157
"1157","14E",2,"F",0,96
"1158","14E",2,"S",0,157
"1159","14E",3,"F",0,96
"1160","14E",3,"S",0,157
"1161","14E",4,"F",0,96
"1162","14E",4,"S",0,157
"1163","14E",5,"F",0,96
"1164","14E",5,"S",1,156
"1165","14E",6,"F",0,96
"1166","14E",6,"S",0,157
"1167","14E",7,"F",0,96
"1168","14E",7,"S",1,156
"1169","14E",8,"F",0,96
"1170","14E",8,"S",0,157
"1171","14E",9,"F",0,96
"1172","14E",9,"S",0,157
"1173","14E",10,"F",0,96
"1174","14E",10,"S",0,157
"1175","14E",11,"F",0,96
"1176","14E",11,"S",1,156
"1177","14E",12,"F",0,96
"1178","14E",12,"S",0,157
"1179","14E",13,"F",0,96
"1180","14E",13,"S",0,157
"1181","14E",14,"F",0,96
"1182","14E",14,"S",0,157
"1183","14E",15,"F",0,96
"1184","14E",15,"S",0,157
"1185","14E",16,"F",0,96
"1186","14E",16,"S",0,157
"1187","14E",17,"F",0,96
"1188","14E",17,"S",0,157
"1189","14E",18,"F",0,96
"1190","14E",18,"S",0,157
"1191","14E",19,"F",0,96
"1192","14E",19,"S",0,157
"1193","14E",20,"F",0,96
"1194","14E",20,"S",1,156
"1195","14E",21,"F",0,96
"1196","14E",21,"S",0,157
"1197","14E",22,"F",0,96
"1198","14E",22,"S",0,157
"1199","14E",23,"F",0,96
"1200","14E",23,"S",0,157
"1201","15A",0,"F",0,96
"1202","15A",0,"S",0,164
"1203","15A",1,"F",0,96
"1204","15A",1,"S",0,164
"1205","15A",2,"F",0,96
"1206","15A",2,"S",0,164
"1207","15A",3,"F",1,95
"1208","15A",3,"S",0,164
"1209","15A",4,"F",1,95
"1210","15A",4,"S",0,164
"1211","15A",5,"F",0,96
"1212","15A",5,"S",0,164
"1213","15A",6,"F",0,96
"1214","15A",6,"S",0,164
"1215","15A",7,"F",0,96
"1216","15A",7,"S",0,164
"1217","15A",8,"F",0,96
"1218","15A",8,"S",1,163
"1219","15A",9,"F",0,96
"1220","15A",9,"S",0,164
"1221","15A",10,"F",0,96
"1222","15A",10,"S",0,164
"1223","15A",11,"F",0,96
"1224","15A",11,"S",0,164
"1225","15A",12,"F",0,96
"1226","15A",12,"S",0,164
"1227","15A",13,"F",0,96
"1228","15A",13,"S",0,164
"1229","15A",14,"F",0,96
"1230","15A",14,"S",0,164
"1231","15A",15,"F",0,96
"1232","15A",15,"S",0,164
"1233","15A",16,"F",0,96
"1234","15A",16,"S",0,164
"1235","15A",17,"F",0,96
"1236","15A",17,"S",0,164
"1237","15A",18,"F",0,96
"1238","15A",18,"S",0,164
"1239","15A",19,"F",0,96
"1240","15A",19,"S",1,163
"1241","15A",20,"F",0,96
"1242","15A",20,"S",0,164
"1243","15A",21,"F",1,95
"1244","15A",21,"S",1,163
"1245","15A",22,"F",2,94
"1246","15A",22,"S",2,162
"1247","15A",23,"F",0,96
"1248","15A",23,"S",0,164
"1249","15B",0,"F",0,96
"1250","15B",0,"S",0,156
"1251","15B",1,"F",0,96
"1252","15B",1,"S",0,156
"1253","15B",2,"F",0,96
"1254","15B",2,"S",0,156
"1255","15B",3,"F",0,96
"1256","15B",3,"S",0,156
"1257","15B",4,"F",0,96
"1258","15B",4,"S",0,156
"1259","15B",5,"F",0,96
"1260","15B",5,"S",0,156
"1261","15B",6,"F",0,96
"1262","15B",6,"S",0,156
"1263","15B",7,"F",0,96
"1264","15B",7,"S",0,156
"1265","15B",8,"F",0,96
"1266","15B",8,"S",0,156
"1267","15B",9,"F",0,96
"1268","15B",9,"S",0,156
"1269","15B",10,"F",0,96
"1270","15B",10,"S",0,156
"1271","15B",11,"F",0,96
"1272","15B",11,"S",0,156
"1273","15B",12,"F",0,96
"1274","15B",12,"S",0,156
"1275","15B",13,"F",0,96
"1276","15B",13,"S",0,156
"1277","15B",14,"F",0,96
"1278","15B",14,"S",0,156
"1279","15B",15,"F",0,96
"1280","15B",15,"S",0,156
"1281","15B",16,"F",0,96
"1282","15B",16,"S",0,156
"1283","15B",17,"F",0,96
"1284","15B",17,"S",0,156
"1285","15B",18,"F",0,96
"1286","15B",18,"S",0,156
"1287","15B",19,"F",0,96
"1288","15B",19,"S",1,155
"1289","15B",20,"F",1,95
"1290","15B",20,"S",0,156
"1291","15B",21,"F",0,96
"1292","15B",21,"S",1,155
"1293","15B",22,"F",0,96
"1294","15B",22,"S",0,156
"1295","15B",23,"F",0,96
"1296","15B",23,"S",0,156
"1297","15C",0,"F",0,95
"1298","15C",0,"S",0,164
"1299","15C",1,"F",0,95
"1300","15C",1,"S",0,164
"1301","15C",2,"F",0,95
"1302","15C",2,"S",0,164
"1303","15C",3,"F",0,95
"1304","15C",3,"S",0,164
"1305","15C",4,"F",0,95
"1306","15C",4,"S",0,164
"1307","15C",5,"F",0,95
"1308","15C",5,"S",1,163
"1309","15C",6,"F",0,95
"1310","15C",6,"S",0,164
"1311","15C",7,"F",0,95
"1312","15C",7,"S",0,164
"1313","15C",8,"F",0,95
"1314","15C",8,"S",0,164
"1315","15C",9,"F",0,95
"1316","15C",9,"S",0,164
"1317","15C",10,"F",0,95
"1318","15C",10,"S",0,164
"1319","15C",11,"F",0,95
"1320","15C",11,"S",0,164
"1321","15C",12,"F",0,95
"1322","15C",12,"S",0,164
"1323","15C",13,"F",0,95
"1324","15C",13,"S",0,164
"1325","15C",14,"F",0,95
"1326","15C",14,"S",0,164
"1327","15C",15,"F",0,95
"1328","15C",15,"S",0,164
"1329","15C",16,"F",0,95
"1330","15C",16,"S",0,164
"1331","15C",17,"F",0,95
"1332","15C",17,"S",0,164
"1333","15C",18,"F",0,95
"1334","15C",18,"S",0,164
"1335","15C",19,"F",0,95
"1336","15C",19,"S",0,164
"1337","15C",20,"F",0,95
"1338","15C",20,"S",0,164
"1339","15C",21,"F",1,94
"1340","15C",21,"S",0,164
"1341","15C",22,"F",0,95
"1342","15C",22,"S",0,164
"1343","15C",23,"F",0,95
"1344","15C",23,"S",0,164
"1345","15D",0,"F",0,96
"1346","15D",0,"S",0,163
"1347","15D",1,"F",0,96
"1348","15D",1,"S",0,163
"1349","15D",2,"F",0,96
"1350","15D",2,"S",0,163
"1351","15D",3,"F",0,96
"1352","15D",3,"S",0,163
"1353","15D",4,"F",0,96
"1354","15D",4,"S",0,163
"1355","15D",5,"F",0,96
"1356","15D",5,"S",0,163
"1357","15D",6,"F",0,96
"1358","15D",6,"S",0,163
"1359","15D",7,"F",0,96
"1360","15D",7,"S",0,163
"1361","15D",8,"F",0,96
"1362","15D",8,"S",0,163
"1363","15D",9,"F",0,96
"1364","15D",9,"S",0,163
"1365","15D",10,"F",0,96
"1366","15D",10,"S",0,163
"1367","15D",11,"F",0,96
"1368","15D",11,"S",0,163
"1369","15D",12,"F",0,96
"1370","15D",12,"S",0,163
"1371","15D",13,"F",0,96
"1372","15D",13,"S",0,163
"1373","15D",14,"F",1,95
"1374","15D",14,"S",0,163
"1375","15D",15,"F",1,95
"1376","15D",15,"S",0,163
"1377","15D",16,"F",0,96
"1378","15D",16,"S",0,163
"1379","15D",17,"F",0,96
"1380","15D",17,"S",0,163
"1381","15D",18,"F",0,96
"1382","15D",18,"S",0,163
"1383","15D",19,"F",0,96
"1384","15D",19,"S",0,163
"1385","15D",20,"F",0,96
"1386","15D",20,"S",0,163
"1387","15D",21,"F",0,96
"1388","15D",21,"S",0,163
"1389","15D",22,"F",0,96
"1390","15D",22,"S",1,162
"1391","15D",23,"F",0,96
"1392","15D",23,"S",0,163
"1393","15E",0,"F",0,96
"1394","15E",0,"S",0,155
"1395","15E",1,"F",0,96
"1396","15E",1,"S",0,155
"1397","15E",2,"F",0,96
"1398","15E",2,"S",0,155
"1399","15E",3,"F",0,96
"1400","15E",3,"S",0,155
"1401","15E",4,"F",1,95
"1402","15E",4,"S",0,155
"1403","15E",5,"F",0,96
"1404","15E",5,"S",1,154
"1405","15E",6,"F",0,96
"1406","15E",6,"S",1,154
"1407","15E",7,"F",1,95
"1408","15E",7,"S",0,155
"1409","15E",8,"F",0,96
"1410","15E",8,"S",0,155
"1411","15E",9,"F",0,96
"1412","15E",9,"S",1,154
"1413","15E",10,"F",0,96
"1414","15E",10,"S",1,154
"1415","15E",11,"F",0,96
"1416","15E",11,"S",0,155
"1417","15E",12,"F",0,96
"1418","15E",12,"S",0,155
"1419","15E",13,"F",0,96
"1420","15E",13,"S",1,154
"1421","15E",14,"F",0,96
"1422","15E",14,"S",0,155
"1423","15E",15,"F",0,96
"1424","15E",15,"S",0,155
"1425","15E",16,"F",0,96
"1426","15E",16,"S",0,155
"1427","15E",17,"F",0,96
"1428","15E",17,"S",0,155
"1429","15E",18,"F",0,96
"1430","15E",18,"S",0,155
"1431","15E",19,"F",0,96
"1432","15E",19,"S",0,155
"1433","15E",20,"F",0,96
"1434","15E",20,"S",0,155
"1435","15E",21,"F",2,94
"1436","15E",21,"S",0,155
"1437","15E",22,"F",0,96
"1438","15E",22,"S",0,155
"1439","15E",23,"F",0,96
"1440","15E",23,"S",0,155
"1441","16A",0,"F",0,97
"1442","16A",0,"S",0,160
"1443","16A",1,"F",0,97
"1444","16A",1,"S",0,160
"1445","16A",2,"F",0,97
"1446","16A",2,"S",0,160
"1447","16A",3,"F",0,97
"1448","16A",3,"S",0,160
"1449","16A",4,"F",0,97
"1450","16A",4,"S",0,160
"1451","16A",5,"F",0,97
"1452","16A",5,"S",1,159
"1453","16A",6,"F",0,97
"1454","16A",6,"S",0,160
"1455","16A",7,"F",0,97
"1456","16A",7,"S",0,160
"1457","16A",8,"F",0,97
"1458","16A",8,"S",0,160
"1459","16A",9,"F",0,97
"1460","16A",9,"S",0,160
"1461","16A",10,"F",0,97
"1462","16A",10,"S",0,160
"1463","16A",11,"F",0,97
"1464","16A",11,"S",0,160
"1465","16A",12,"F",0,97
"1466","16A",12,"S",1,159
"1467","16A",13,"F",0,97
"1468","16A",13,"S",0,160
"1469","16A",14,"F",0,97
"1470","16A",14,"S",0,160
"1471","16A",15,"F",0,97
"1472","16A",15,"S",0,160
"1473","16A",16,"F",0,97
"1474","16A",16,"S",0,160
"1475","16A",17,"F",0,97
"1476","16A",17,"S",1,159
"1477","16A",18,"F",0,97
"1478","16A",18,"S",0,160
"1479","16A",19,"F",0,97
"1480","16A",19,"S",0,160
"1481","16A",20,"F",0,97
"1482","16A",20,"S",1,159
"1483","16A",21,"F",0,97
"1484","16A",21,"S",0,160
"1485","16A",22,"F",0,97
"1486","16A",22,"S",0,160
"1487","16A",23,"F",0,97
"1488","16A",23,"S",1,159
"1489","16B",0,"F",0,101
"1490","16B",0,"S",0,118
"1491","16B",1,"F",0,101
"1492","16B",1,"S",0,118
"1493","16B",2,"F",0,101
"1494","16B",2,"S",0,118
"1495","16B",3,"F",0,101
"1496","16B",3,"S",0,118
"1497","16B",4,"F",0,101
"1498","16B",4,"S",1,117
"1499","16B",5,"F",0,101
"1500","16B",5,"S",0,118
"1501","16B",6,"F",0,101
"1502","16B",6,"S",1,117
"1503","16B",7,"F",0,101
"1504","16B",7,"S",1,117
"1505","16B",8,"F",0,101
"1506","16B",8,"S",0,118
"1507","16B",9,"F",0,101
"1508","16B",9,"S",0,118
"1509","16B",10,"F",0,101
"1510","16B",10,"S",0,118
"1511","16B",11,"F",0,101
"1512","16B",11,"S",1,117
"1513","16B",12,"F",0,101
"1514","16B",12,"S",0,118
"1515","16B",13,"F",0,101
"1516","16B",13,"S",0,118
"1517","16B",14,"F",0,101
"1518","16B",14,"S",0,118
"1519","16B",15,"F",0,101
"1520","16B",15,"S",0,118
"1521","16B",16,"F",0,101
"1522","16B",16,"S",0,118
"1523","16B",17,"F",0,101
"1524","16B",17,"S",0,118
"1525","16B",18,"F",0,101
"1526","16B",18,"S",1,117
"1527","16B",19,"F",0,101
"1528","16B",19,"S",1,117
"1529","16B",20,"F",0,101
"1530","16B",20,"S",1,117
"1531","16B",21,"F",0,101
"1532","16B",21,"S",2,116
"1533","16B",22,"F",0,101
"1534","16B",22,"S",0,118
"1535","16B",23,"F",1,100
"1536","16B",23,"S",0,118
"1537","16C",0,"F",0,98
"1538","16C",0,"S",0,110
"1539","16C",1,"F",0,98
"1540","16C",1,"S",1,109
"1541","16C",2,"F",0,98
"1542","16C",2,"S",0,110
"1543","16C",3,"F",0,98
"1544","16C",3,"S",0,110
"1545","16C",4,"F",0,98
"1546","16C",4,"S",0,110
"1547","16C",5,"F",0,98
"1548","16C",5,"S",0,110
"1549","16C",6,"F",0,98
"1550","16C",6,"S",1,109
"1551","16C",7,"F",0,98
"1552","16C",7,"S",2,108
"1553","16C",8,"F",0,98
"1554","16C",8,"S",0,110
"1555","16C",9,"F",0,98
"1556","16C",9,"S",0,110
"1557","16C",10,"F",0,98
"1558","16C",10,"S",2,108
"1559","16C",11,"F",0,98
"1560","16C",11,"S",1,109
"1561","16C",12,"F",0,98
"1562","16C",12,"S",0,110
"1563","16C",13,"F",0,98
"1564","16C",13,"S",1,109
"1565","16C",14,"F",0,98
"1566","16C",14,"S",1,109
"1567","16C",15,"F",0,98
"1568","16C",15,"S",0,110
"1569","16C",16,"F",0,98
"1570","16C",16,"S",1,109
"1571","16C",17,"F",0,98
"1572","16C",17,"S",0,110
"1573","16C",18,"F",1,97
"1574","16C",18,"S",0,110
"1575","16C",19,"F",0,98
"1576","16C",19,"S",2,108
"1577","16C",20,"F",0,98
"1578","16C",20,"S",2,108
"1579","16C",21,"F",0,98
"1580","16C",21,"S",0,110
"1581","16C",22,"F",0,98
"1582","16C",22,"S",0,110
"1583","16C",23,"F",0,98
"1584","16C",23,"S",0,110
"1585","16D",0,"F",0,101
"1586","16D",0,"S",0,164
"1587","16D",1,"F",0,101
"1588","16D",1,"S",0,164
"1589","16D",2,"F",0,101
"1590","16D",2,"S",0,164
"1591","16D",3,"F",0,101
"1592","16D",3,"S",0,164
"1593","16D",4,"F",0,101
"1594","16D",4,"S",0,164
"1595","16D",5,"F",0,101
"1596","16D",5,"S",0,164
"1597","16D",6,"F",0,101
"1598","16D",6,"S",0,164
"1599","16D",7,"F",0,101
"1600","16D",7,"S",0,164
"1601","16D",8,"F",0,101
"1602","16D",8,"S",0,164
"1603","16D",9,"F",0,101
"1604","16D",9,"S",0,164
"1605","16D",10,"F",0,101
"1606","16D",10,"S",0,164
"1607","16D",11,"F",0,101
"1608","16D",11,"S",0,164
"1609","16D",12,"F",0,101
"1610","16D",12,"S",0,164
"1611","16D",13,"F",0,101
"1612","16D",13,"S",0,164
"1613","16D",14,"F",0,101
"1614","16D",14,"S",0,164
"1615","16D",15,"F",0,101
"1616","16D",15,"S",0,164
"1617","16D",16,"F",0,101
"1618","16D",16,"S",0,164
"1619","16D",17,"F",0,101
"1620","16D",17,"S",0,164
"1621","16D",18,"F",0,101
"1622","16D",18,"S",1,163
"1623","16D",19,"F",0,101
"1624","16D",19,"S",0,164
"1625","16D",20,"F",0,101
"1626","16D",20,"S",0,164
"1627","16D",21,"F",0,101
"1628","16D",21,"S",0,164
"1629","16D",22,"F",0,101
"1630","16D",22,"S",0,164
"1631","16D",23,"F",0,101
"1632","16D",23,"S",0,164
"1633","16E",0,"F",0,97
"1634","16E",0,"S",0,161
"1635","16E",1,"F",0,97
"1636","16E",1,"S",0,161
"1637","16E",2,"F",0,97
"1638","16E",2,"S",0,161
"1639","16E",3,"F",0,97
"1640","16E",3,"S",0,161
"1641","16E",4,"F",0,97
"1642","16E",4,"S",0,161
"1643","16E",5,"F",0,97
"1644","16E",5,"S",0,161
"1645","16E",6,"F",0,97
"1646","16E",6,"S",0,161
"1647","16E",7,"F",1,96
"1648","16E",7,"S",0,161
"1649","16E",8,"F",0,97
"1650","16E",8,"S",0,161
"1651","16E",9,"F",0,97
"1652","16E",9,"S",1,160
"1653","16E",10,"F",0,97
"1654","16E",10,"S",0,161
"1655","16E",11,"F",0,97
"1656","16E",11,"S",0,161
"1657","16E",12,"F",0,97
"1658","16E",12,"S",0,161
"1659","16E",13,"F",1,96
"1660","16E",13,"S",0,161
"1661","16E",14,"F",0,97
"1662","16E",14,"S",0,161
"1663","16E",15,"F",1,96
"1664","16E",15,"S",0,161
"1665","16E",16,"F",0,97
"1666","16E",16,"S",0,161
"1667","16E",17,"F",1,96
"1668","16E",17,"S",0,161
"1669","16E",18,"F",0,97
"1670","16E",18,"S",1,160
"1671","16E",19,"F",1,96
"1672","16E",19,"S",0,161
"1673","16E",20,"F",0,97
"1674","16E",20,"S",0,161
"1675","16E",21,"F",0,97
"1676","16E",21,"S",0,161
"1677","16E",22,"F",0,97
"1678","16E",22,"S",0,161
"1679","16E",23,"F",0,97
"1680","16E",23,"S",2,159
"1681","17A",0,"F",0,93
"1682","17A",0,"S",0,165
"1683","17A",1,"F",0,93
"1684","17A",1,"S",0,165
"1685","17A",2,"F",0,93
"1686","17A",2,"S",0,165
"1687","17A",3,"F",0,93
"1688","17A",3,"S",0,165
"1689","17A",4,"F",1,92
"1690","17A",4,"S",0,165
"1691","17A",5,"F",0,93
"1692","17A",5,"S",0,165
"1693","17A",6,"F",0,93
"1694","17A",6,"S",1,164
"1695","17A",7,"F",0,93
"1696","17A",7,"S",1,164
"1697","17A",8,"F",0,93
"1698","17A",8,"S",0,165
"1699","17A",9,"F",0,93
"1700","17A",9,"S",0,165
"1701","17A",10,"F",0,93
"1702","17A",10,"S",0,165
"1703","17A",11,"F",0,93
"1704","17A",11,"S",0,165
"1705","17A",12,"F",0,93
"1706","17A",12,"S",0,165
"1707","17A",13,"F",0,93
"1708","17A",13,"S",0,165
"1709","17A",14,"F",0,93
"1710","17A",14,"S",1,164
"1711","17A",15,"F",0,93
"1712","17A",15,"S",0,165
"1713","17A",16,"F",0,93
"1714","17A",16,"S",1,164
"1715","17A",17,"F",0,93
"1716","17A",17,"S",0,165
"1717","17A",18,"F",0,93
"1718","17A",18,"S",1,164
"1719","17A",19,"F",1,92
"1720","17A",19,"S",3,162
"1721","17A",20,"F",1,92
"1722","17A",20,"S",0,165
"1723","17A",21,"F",0,93
"1724","17A",21,"S",1,164
"1725","17A",22,"F",0,93
"1726","17A",22,"S",1,164
"1727","17A",23,"F",0,93
"1728","17A",23,"S",0,165
"1729","17B",0,"F",0,94
"1730","17B",0,"S",0,156
"1731","17B",1,"F",0,94
"1732","17B",1,"S",0,156
"1733","17B",2,"F",0,94
"1734","17B",2,"S",0,156
"1735","17B",3,"F",0,94
"1736","17B",3,"S",0,156
"1737","17B",4,"F",0,94
"1738","17B",4,"S",0,156
"1739","17B",5,"F",0,94
"1740","17B",5,"S",0,156
"1741","17B",6,"F",0,94
"1742","17B",6,"S",0,156
"1743","17B",7,"F",0,94
"1744","17B",7,"S",0,156
"1745","17B",8,"F",0,94
"1746","17B",8,"S",1,155
"1747","17B",9,"F",0,94
"1748","17B",9,"S",0,156
"1749","17B",10,"F",0,94
"1750","17B",10,"S",0,156
"1751","17B",11,"F",0,94
"1752","17B",11,"S",0,156
"1753","17B",12,"F",0,94
"1754","17B",12,"S",0,156
"1755","17B",13,"F",0,94
"1756","17B",13,"S",0,156
"1757","17B",14,"F",0,94
"1758","17B",14,"S",0,156
"1759","17B",15,"F",0,94
"1760","17B",15,"S",0,156
"1761","17B",16,"F",0,94
"1762","17B",16,"S",0,156
"1763","17B",17,"F",0,94
"1764","17B",17,"S",0,156
"1765","17B",18,"F",0,94
"1766","17B",18,"S",1,155
"1767","17B",19,"F",0,94
"1768","17B",19,"S",1,155
"1769","17B",20,"F",0,94
"1770","17B",20,"S",1,155
"1771","17B",21,"F",0,94
"1772","17B",21,"S",0,156
"1773","17B",22,"F",0,94
"1774","17B",22,"S",0,156
"1775","17B",23,"F",0,94
"1776","17B",23,"S",0,156
"1777","17C",0,"F",0,102
"1778","17C",0,"S",0,159
"1779","17C",1,"F",0,102
"1780","17C",1,"S",0,159
"1781","17C",2,"F",0,102
"1782","17C",2,"S",0,159
"1783","17C",3,"F",0,102
"1784","17C",3,"S",0,159
"1785","17C",4,"F",0,102
"1786","17C",4,"S",0,159
"1787","17C",5,"F",0,102
"1788","17C",5,"S",0,159
"1789","17C",6,"F",0,102
"1790","17C",6,"S",0,159
"1791","17C",7,"F",0,102
"1792","17C",7,"S",0,159
"1793","17C",8,"F",0,102
"1794","17C",8,"S",0,159
"1795","17C",9,"F",0,102
"1796","17C",9,"S",1,158
"1797","17C",10,"F",1,101
"1798","17C",10,"S",0,159
"1799","17C",11,"F",0,102
"1800","17C",11,"S",0,159
"1801","17C",12,"F",0,102
"1802","17C",12,"S",0,159
"1803","17C",13,"F",0,102
"1804","17C",13,"S",2,157
"1805","17C",14,"F",0,102
"1806","17C",14,"S",0,159
