"","Site","Time","Season","success","failure"
"186","10D",20,"S",1,161
"187","10D",21,"F",0,89
"188","10D",21,"S",0,162
"189","10D",22,"F",0,89
"190","10D",22,"S",0,162
"191","10D",23,"F",0,89
"192","10D",23,"S",1,161
"193","10E",0,"F",0,89
"194","10E",0,"S",0,167
"195","10E",1,"F",1,88
"196","10E",1,"S",0,167
"197","10E",2,"F",0,89
"198","10E",2,"S",0,167
"199","10E",3,"F",0,89
"200","10E",3,"S",0,167
"201","10E",4,"F",0,89
"202","10E",4,"S",0,167
"203","10E",5,"F",0,89
"204","10E",5,"S",1,166
"205","10E",6,"F",0,89
"206","10E",6,"S",1,166
"207","10E",7,"F",0,89
"208","10E",7,"S",0,167
"209","10E",8,"F",0,89
"210","10E",8,"S",0,167
"211","10E",9,"F",0,89
"212","10E",9,"S",2,165
"213","10E",10,"F",0,89
"214","10E",10,"S",0,167
"215","10E",11,"F",0,89
"216","10E",11,"S",0,167
"217","10E",12,"F",0,89
"218","10E",12,"S",1,166
"219","10E",13,"F",0,89
"220","10E",13,"S",0,167
"221","10E",14,"F",0,89
"222","10E",14,"S",0,167
"223","10E",15,"F",0,89
"224","10E",15,"S",0,167
"225","10E",16,"F",0,89
"226","10E",16,"S",0,167
"227","10E",17,"F",0,89
"228","10E",17,"S",0,167
"229","10E",18,"F",0,89
"230","10E",18,"S",0,167
"231","10E",19,"F",0,89
"232","10E",19,"S",1,166
"233","10E",20,"F",1,88
"234","10E",20,"S",1,166
"235","10E",21,"F",0,89
"236","10E",21,"S",1,166
"237","10E",22,"F",0,89
"238","10E",22,"S",0,167
"239","10E",23,"F",0,89
"240","10E",23,"S",0,167
"241","11A",0,"F",0,96
"242","11A",0,"S",0,116
"243","11A",1,"F",0,96
"244","11A",1,"S",0,116
"245","11A",2,"F",0,96
"246","11A",2,"S",0,116
"247","11A",3,"F",1,95
"248","11A",3,"S",0,116
"249","11A",4,"F",1,95
"250","11A",4,"S",1,115
"251","11A",5,"F",0,96
"252","11A",5,"S",1,115
"253","11A",6,"F",0,96
"254","11A",6,"S",1,115
"255","11A",7,"F",0,96
"256","11A",7,"S",5,111
"257","11A",8,"F",0,96
"258","11A",8,"S",0,116
"259","11A",9,"F",0,96
"260","11A",9,"S",0,116
"261","11A",10,"F",0,96
"262","11A",10,"S",0,116
"263","11A",11,"F",0,96
"264","11A",11,"S",1,115
"265","11A",12,"F",0,96
"266","11A",12,"S",2,114
"267","11A",13,"F",1,95
"268","11A",13,"S",1,115
"269","11A",14,"F",1,95
"270","11A",14,"S",0,116
"271","11A",15,"F",0,96
"272","11A",15,"S",1,115
"273","11A",16,"F",0,96
"274","11A",16,"S",0,116
"275","11A",17,"F",0,96
"276","11A",17,"S",1,115
"277","11A",18,"F",0,96
"278","11A",18,"S",2,114
"279","11A",19,"F",0,96
"280","11A",19,"S",2,114
"281","11A",20,"F",0,96
"282","11A",20,"S",4,112
"283","11A",21,"F",0,96
"284","11A",21,"S",1,115
"285","11A",22,"F",0,96
"286","11A",22,"S",2,114
"287","11A",23,"F",0,96
"288","11A",23,"S",0,116
"289","11B",0,"F",0,51
"290","11B",0,"S",0,169
"291","11B",1,"F",0,51
"292","11B",1,"S",0,169
"293","11B",2,"F",0,51
"294","11B",2,"S",0,169
"295","11B",3,"F",0,51
"296","11B",3,"S",0,169
"297","11B",4,"F",0,51
"298","11B",4,"S",0,169
"299","11B",5,"F",0,51
"300","11B",5,"S",0,169
"301","11B",6,"F",0,51
"302","11B",6,"S",0,169
"303","11B",7,"F",0,51
"304","11B",7,"S",1,168
"305","11B",8,"F",0,51
"306","11B",8,"S",0,169
"307","11B",9,"F",0,51
"308","11B",9,"S",0,169
"309","11B",10,"F",1,50
"310","11B",10,"S",1,168
"311","11B",11,"F",0,51
"312","11B",11,"S",1,168
"313","11B",12,"F",0,51
"314","11B",12,"S",0,169
"315","11B",13,"F",0,51
"316","11B",13,"S",0,169
"317","11B",14,"F",0,51
"318","11B",14,"S",1,168
"319","11B",15,"F",0,51
"320","11B",15,"S",0,169
"321","11B",16,"F",0,51
"322","11B",16,"S",1,168
"323","11B",17,"F",0,51
"324","11B",17,"S",0,169
"325","11B",18,"F",0,51
"326","11B",18,"S",1,168
"327","11B",19,"F",0,51
"328","11B",19,"S",2,167
"329","11B",20,"F",0,51
"330","11B",20,"S",2,167
"331","11B",21,"F",0,51
"332","11B",21,"S",0,169
"333","11B",22,"F",0,51
"334","11B",22,"S",1,168
"335","11B",23,"F",2,49
"336","11B",23,"S",0,169
"337","11C",0,"F",1,51
"338","11C",0,"S",0,96
"339","11C",1,"F",0,52
"340","11C",1,"S",0,96
"341","11C",2,"F",0,52
"342","11C",2,"S",0,96
"343","11C",3,"F",0,52
"344","11C",3,"S",0,96
"345","11C",4,"F",0,52
"346","11C",4,"S",0,96
"347","11C",5,"F",0,52
"348","11C",5,"S",1,95
"349","11C",6,"F",0,52
"350","11C",6,"S",2,94
"351","11C",7,"F",0,52
"352","11C",7,"S",1,95
"353","11C",8,"F",0,52
"354","11C",8,"S",3,93
"355","11C",9,"F",0,52
"356","11C",9,"S",0,96
"357","11C",10,"F",0,52
"358","11C",10,"S",2,94
"359","11C",11,"F",0,52
"360","11C",11,"S",0,96
"361","11C",12,"F",0,52
"362","11C",12,"S",1,95
"363","11C",13,"F",0,52
"364","11C",13,"S",0,96
"365","11C",14,"F",0,52
"366","11C",14,"S",0,96
"367","11C",15,"F",0,52
"368","11C",15,"S",2,94
"369","11C",16,"F",0,52
"370","11C",16,"S",0,96
"371","11C",17,"F",0,52
"372","11C",17,"S",1,95
"373","11C",18,"F",0,52
"374","11C",18,"S",2,94
"375","11C",19,"F",1,51
"376","11C",19,"S",2,94
"377","11C",20,"F",0,52
"378","11C",20,"S",1,95
"379","11C",21,"F",1,51
"380","11C",21,"S",0,96
"381","11C",22,"F",0,52
"382","11C",22,"S",1,95
"383","11C",23,"F",0,52
"384","11C",23,"S",0,96
"385","11D",0,"F",0,106
"386","11D",0,"S",0,166
"387","11D",1,"F",0,106
"388","11D",1,"S",0,166
"389","11D",2,"F",0,106
"390","11D",2,"S",0,166
"391","11D",3,"F",0,106
"392","11D",3,"S",0,166
"393","11D",4,"F",0,106
"394","11D",4,"S",0,166
"395","11D",5,"F",1,105
"396","11D",5,"S",0,166
"397","11D",6,"F",0,106
"398","11D",6,"S",0,166
"399","11D",7,"F",0,106
"400","11D",7,"S",0,166
"401","11D",8,"F",0,106
"402","11D",8,"S",0,166
"403","11D",9,"F",1,105
"404","11D",9,"S",0,166
"405","11D",10,"F",0,106
"406","11D",10,"S",0,166
"407","11D",11,"F",0,106
"408","11D",11,"S",0,166
"409","11D",12,"F",0,106
"410","11D",12,"S",0,166
"411","11D",13,"F",0,106
"412","11D",13,"S",0,166
"413","11D",14,"F",0,106
"414","11D",14,"S",0,166
"415","11D",15,"F",0,106
"416","11D",15,"S",0,166
"417","11D",16,"F",0,106
"418","11D",16,"S",0,166
"419","11D",17,"F",0,106
"420","11D",17,"S",0,166
"421","11D",18,"F",0,106
"422","11D",18,"S",1,165
"423","11D",19,"F",0,106
"424","11D",19,"S",0,166
"425","11D",20,"F",0,106
"426","11D",20,"S",1,165
"427","11D",21,"F",0,106
"428","11D",21,"S",0,166
"429","11D",22,"F",0,106
"430","11D",22,"S",0,166
"431","11D",23,"F",0,106
"432","11D",23,"S",0,166
"433","11E",0,"F",0,97
"434","11E",0,"S",0,160
"435","11E",1,"F",0,97
"436","11E",1,"S",0,160
"437","11E",2,"F",0,97
"438","11E",2,"S",0,160
"439","11E",3,"F",0,97
"440","11E",3,"S",0,160
"441","11E",4,"F",0,97
"442","11E",4,"S",0,160
"443","11E",5,"F",0,97
"444","11E",5,"S",0,160
"445","11E",6,"F",0,97
"446","11E",6,"S",1,159
"447","11E",7,"F",0,97
"448","11E",7,"S",1,159
"449","11E",8,"F",0,97
"450","11E",8,"S",1,159
"451","11E",9,"F",0,97
"452","11E",9,"S",0,160
"453","11E",10,"F",0,97
"454","11E",10,"S",0,160
"455","11E",11,"F",0,97
"456","11E",11,"S",0,160
"457","11E",12,"F",0,97
"458","11E",12,"S",0,160
"459","11E",13,"F",0,97
"460","11E",13,"S",0,160
"461","11E",14,"F",0,97
"462","11E",14,"S",0,160
"463","11E",15,"F",0,97
"464","11E",15,"S",0,160
"465","11E",16,"F",0,97
"466","11E",16,"S",0,160
"467","11E",17,"F",0,97
"468","11E",17,"S",0,160
"469","11E",18,"F",0,97
"470","11E",18,"S",0,160
"471","11E",19,"F",0,97
"472","11E",19,"S",1,159
"473","11E",20,"F",0,97
"474","11E",20,"S",1,159
"475","11E",21,"F",0,97
"476","11E",21,"S",1,159
"477","11E",22,"F",0,97
"478","11E",22,"S",0,160
"479","11E",23,"F",0,97
"480","11E",23,"S",0,160
"481","12A",0,"F",0,98
"482","12A",0,"S",0,157
"483","12A",1,"F",0,98
"484","12A",1,"S",0,157
"485","12A",2,"F",0,98
"486","12A",2,"S",0,157
"487","12A",3,"F",0,98
"488","12A",3,"S",0,157
"489","12A",4,"F",0,98
"490","12A",4,"S",1,156
"491","12A",5,"F",0,98
"492","12A",5,"S",0,157
"493","12A",6,"F",0,98
"494","12A",6,"S",0,157
"495","12A",7,"F",0,98
"496","12A",7,"S",1,156
"497","12A",8,"F",0,98
"498","12A",8,"S",1,156
"499","12A",9,"F",0,98
"500","12A",9,"S",0,157
"501","12A",10,"F",0,98
"502","12A",10,"S",0,157
"503","12A",11,"F",0,98
"504","12A",11,"S",0,157
"505","12A",12,"F",0,98
"506","12A",12,"S",0,157
"507","12A",13,"F",0,98
"508","12A",13,"S",0,157
"509","12A",14,"F",0,98
"510","12A",14,"S",0,157
"511","12A",15,"F",0,98
"512","12A",15,"S",0,157
"513","12A",16,"F",0,98
"514","12A",16,"S",0,157
"515","12A",17,"F",0,98
"516","12A",17,"S",1,156
"517","12A",18,"F",0,98
"518","12A",18,"S",0,157
"519","12A",19,"F",0,98
"520","12A",19,"S",0,157
"521","12A",20,"F",0,98
"522","12A",20,"S",2,155
"523","12A",21,"F",0,98
"524","12A",21,"S",0,157
"525","12A",22,"F",0,98
"526","12A",22,"S",0,157
"527","12A",23,"F",0,98
"528","12A",23,"S",0,157
